,year,keywords,title,author
20,2019,"0805 Elementary and secondary education, EDUCATION, 0810 Post-secondary education, EDUCATION, 0815 Informal education, EDUCATION, 0850 Geoscience education research, EDUCATION",{Disk Detective: Combining Citizen Science and Virtual Reality},"{Kuchner}, M.~J. and {Higashio}, S. and {Brandt}, M.~A. and {Silverberg}, S.~M."
21,2021,,{A New Approach to Data Visualization Using Virtual Reality to Improve Mission Planning Workflows},"{Gold}, Lauren and {LiKamWa}, Robert and {Powell}, Kathryn and {Roberts}, Joe"
22,2019,"4313 Extreme events, NATURAL HAZARDS, 4332 Disaster resilience, NATURAL HAZARDS, 4337 Remote sensing and disasters, NATURAL HAZARDS, 4342 Emergency management, NATURAL HAZARDS",{Awash in Data: Virtual Flooding with Virtual Reality Technology},"{Skolnik}, S. and {Silcott}, A."
23,2017,"1916 Data and information discovery, INFORMATICS, 1920 Emerging informatics technologies, INFORMATICS, 1992 Virtual globes, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS",{Generating Contextual Descriptions of Virtual Reality (VR) Spaces},"{Olson}, D.~M. and {Zaman}, C.~H. and {Sutherland}, A."
24,2011,"0530 COMPUTATIONAL GEOPHYSICS / Data presentation and visualization, 1219 GEODESY AND GRAVITY / Gravity anomalies and Earth structure, 1517 GEOMAGNETISM AND PALEOMAGNETISM / Magnetic anomalies: modeling and interpretation, 5420 PLANETARY SCIENCES: SOLID SURFACE PLANETS / Impact phenomena, cratering",{Visualization and Interpretation in 3D Virtual Reality of Topographic and Geophysical Data from the Chicxulub Impact Crater},"{Rosen}, J. and {Kinsland}, G.~L. and {Borst}, C."
25,2020,"1920 Emerging informatics technologies, INFORMATICS",{Environmental Virtual Reality: An Exploration Of First Time User Experiences},"{Raja}, U."
26,2004,"3210 Modeling, 1823 Frozen ground, 1600 GLOBAL CHANGE (New category)",{Virtual Reality Visualization of Permafrost Dynamics Along a Transect Through Northern Alaska},"{Chappell}, G.~G. and {Brody}, B. and {Webb}, P. and {Chord}, J. and {Romanovsky}, V. and {Tipenko}, G."
27,2017,"0805 Elementary and secondary education, EDUCATION, 0815 Informal education, EDUCATION, 0820 Curriculum and laboratory design, EDUCATION, 0850 Geoscience education research, EDUCATION",{IceCube Polar Virtual Reality exhibit: immersive learning for learners of all ages},"{Madsen}, J. and {Bravo Gallart}, S. and {Chase}, A. and {Dougherty}, P. and {Gagnon}, D. and {Pronto}, K. and {Rush}, M. and {Tredinnick}, R."
28,2022,,{Expedition VRctica: Story-based Virtual Reality Experiences to Engage New Audiences in Polar Science},"{Madsen}, Jim Dog and {Gagnon}, David and {Pronto}, Kevin and {Roman}, Diego and {Tangen}, Travis and {Tredinnick}, Ross and {Verbeke}, Monae"
29,2019,"0805 Elementary and secondary education, EDUCATION, 0810 Post-secondary education, EDUCATION, 0815 Informal education, EDUCATION, 0850 Geoscience education research, EDUCATION",{Virtual Reality Exploration of Earth's Cryosphere},"{Harris}, K. and {Cervenec}, J.~M. and {Theodotou}, P.~I."
30,2020,"6015 Dust, PLANETARY SCIENCES: COMETS AND SMALL BODIES, 6020 Ices, PLANETARY SCIENCES: COMETS AND SMALL BODIES, 6040 Origin and evolution, PLANETARY SCIENCES: COMETS AND SMALL BODIES, 6099 General or miscellaneous, PLANETARY SCIENCES: COMETS AND SMALL BODIES",{Using Virtual Reality for Science Missions At The Lunar South Pole},"{Grubb}, T. and {Garry}, W.~B. and {Baker}, D.~Z. and {Hosler}, J. and {Brandt}, M.~A. and {Ames}, T."
31,2019,"0805 Elementary and secondary education, EDUCATION, 0810 Post-secondary education, EDUCATION, 0815 Informal education, EDUCATION, 0850 Geoscience education research, EDUCATION",{Using Virtual Reality to Teach Water Cycling in California's Mediterranean Climate},"{Kassis}, S. and {Glas}, R. and {Luna}, G. and {Miller}, A. and {Spicher}, K. and {Vella}, K. and {Luke}, C."
32,2017,"0805 Elementary and secondary education, EDUCATION, 0815 Informal education, EDUCATION, 0825 Teaching methods, EDUCATION, 0845 Instructional tools, EDUCATION",{Using Virtual Reality to Bring Ocean Science Field Experiences to the Classroom and Beyond},"{Waite}, A.~J. and {Rosenberg}, A. and {Frehm}, V. and {Gravinese}, P. and {Jackson}, J. and {Killingsworth}, S. and {Williams}, C."
33,2019,"0850 Geoscience education research, EDUCATION, 9820 Techniques applicable in three or more fields, GENERAL OR MISCELLANEOUS, 6620 Science policy, POLICY SCIENCES \& PUBLIC ISSUES, 6699 General or miscellaneous, PUBLIC ISSUES",{An Underwater Snapshot: The Reality Behind Virtual Reality},"{Brady}, H."
34,2019,"0810 Post-secondary education, EDUCATION, 0820 Curriculum and laboratory design, EDUCATION, 7899 General or miscellaneous, SPACE PLASMA PHYSICS, 7999 General or miscellaneous, SPACE WEATHER",{Learning by Immersion: Developing Virtual Reality Labs for Electricity and Magnetism Courses},"{Ilie}, R. and {Shaffer}, E. and {D'Angelo}, C.~M."
35,2019,"0805 Elementary and secondary education, EDUCATION, 0810 Post-secondary education, EDUCATION, 0815 Informal education, EDUCATION, 0850 Geoscience education research, EDUCATION","{An Immersive Virtual Reality Learning Game to Explore the Lehigh River Watershed, PA}","{Anastasio}, D.~J. and {Bodzin}, A. and {Junior}, R.~M.~D.~A. and {Hammond}, T."
36,2024,,{Advancements in Volumetric Atmospheric Data Exploration Using Virtual Reality: A Case Study with the MAGIC Model},"{Aguilar Guerrero}, Jaime and {Snively}, Jonathan B. and {Heale}, Christopher James"
37,2019,"0810 Post-secondary education, EDUCATION, 0825 Teaching methods, EDUCATION, 0845 Instructional tools, EDUCATION, 0850 Geoscience education research, EDUCATION",{Virtual Reality Modeling of the CRREL Permafrost Tunnel for Online Education on Permafrost and Climate Change},"{Truskowski}, C.~M. and {Rudolf}, M.~C. and {Phillips}, C. and {Garron}, J."
38,2018,"0855 Diversity, EDUCATIONDE: 9820 Techniques applicable in three or more fields, GENERAL OR MISCELLANEOUSDE: 1920 Emerging informatics technologies, INFORMATICSDE: 1994 Visualization and portrayal, INFORMATICS",{Connecting the Dots between Data and Reality: Using Virtual Reality to Visualize Flooding Impacts},"{Skolnik}, S. and {Silcott}, A."
39,2017,"0815 Informal education, EDUCATION, 0820 Curriculum and laboratory design, EDUCATION, 0840 Evaluation and assessment, EDUCATION, 0845 Instructional tools, EDUCATION",{Virtual Reality as a Story Telling Platform for Geoscience Communication},"{Lazar}, K. and {Moysey}, S.~M."
40,2019,"0850 Geoscience education research, EDUCATION, 9820 Techniques applicable in three or more fields, GENERAL OR MISCELLANEOUS, 1992 Virtual globes, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS",{Utilizing Virtual Reality Field Studies to Enable Analog Research of Planetary Surfaces},"{Matiella Novak}, M.~A. and {Heldmann}, J. and {Steele}, J.~J. and {Strang}, J. and {Zimmerman}, M.~I."
