,year,keywords,title,author
82,2021,,{Virtual Reality at Regional Scale: Exploring Terrestrial Bodies in Immersive 3D Environments},"{Tullo}, Adriano and {Mancini}, Francesca and {Ori}, Gian"
83,2024,,{Virtual Reality Game to Foster Knowledge about Mangroves' Role in Mitigating Climate Change},"{Ikhsan}, Muhammad Hadi and {Tan}, Christabel Wan Jie and {Chua}, Stephen and {Hodgkinson}, Gray and {Horton}, Benjamin Peter"
84,2017,"1916 Data and information discovery, INFORMATICS, 1920 Emerging informatics technologies, INFORMATICS, 1992 Virtual globes, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS",{Building Virtual Mars},"{Abercrombie}, S.~P. and {Menzies}, A. and {Goddard}, C."
85,2016,"0845 Instructional tools, EDUCATIONDE: 1980 Spatial analysis and representation, INFORMATICSDE: 1994 Visualization and portrayal, INFORMATICSDE: 6620 Science policy, PUBLIC ISSUES",{Seeing Is Believing: Using Virtual Reality to Connect the Dots Between Climate Data and Reality},"{Skolnik}, S."
86,2024,,{Bringing oceanographic research vessels to the public: Capturing interest in oceanographic biogeochemistry through Virtual Reality},"{Wiederwohl}, Christina L. and {Bogdanoff}, Rebekah and {Thomas}, Andre and {Fitzsimmons}, Jessica N. and {Twining}, Benjamin S. and {Cutter}, Gregory A."
87,2024,,{Novel Night Vision Goggle Simulation to Study Effects of Diverse Illumination Conditions on Human Performance},"{Wu}, Claire and {Grayson}, Elaina and {Johnston}, Savonnah and {Lawrence}, Dorian and {Huggins}, Jerry and {Diemunsch}, Jonathan and {Ellis}, Sharon and {Curley}, Taylor and {Meyer}, Frederick"
88,2019,"0825 Teaching methods, EDUCATION, 0850 Geoscience education research, EDUCATION, 1920 Emerging informatics technologies, INFORMATICS, 1942 Machine learning, INFORMATICS",{Data Engineering for UG Curriculum: 3D point Cloud Data as a Case Study},"{Gokaraju}, B."
89,2018,"5464 Remote sensing, PLANETARY SCIENCES: SOLID SURFACE PLANETSDE: 5470 Surface materials and properties, PLANETARY SCIENCES: SOLID SURFACE PLANETSDE: 5494 Instruments and techniques, PLANETARY SCIENCES: SOLID SURFACE PLANETSDE: 5499 General or miscellaneous, PLANETARY SCIENCES: SOLID SURFACE PLANETS",{VR Planetary Analogs for Training: HISEAS Case Study},"{Grubb}, T. and {Hosler}, J. and {Bleacher}, J.~E. and {Garry}, W.~B. and {Whelley}, P. and {Young}, K."
90,2017,"1916 Data and information discovery, INFORMATICS, 1920 Emerging informatics technologies, INFORMATICS, 1992 Virtual globes, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS",{Augmented Virtuality: A Real-time Process for Presenting Real-world Visual Sensory Information in an Immersive Virtual Environment for Planetary Exploration},"{McFadden}, D. and {Tavakkoli}, A. and {Regenbrecht}, J. and {Wilson}, B."
91,2018,"0805 Elementary and secondary education, EDUCATIONDE: 0815 Informal education, EDUCATIONDE: 0845 Instructional tools, EDUCATIONDE: 0850 Geoscience education research, EDUCATION",{Integration of Advanced Geospatial Technologies Into Immersive and Experiential Learning in the Geosciences},"{Bernardes}, S. and {Madden}, M. and {Knight}, A. and {Neel}, III, N.~C."
92,2006,"0805 Elementary and secondary education, 0810 Post-secondary education, 0815 Informal education, 0845 Instructional tools","{Traditions of the Sun, One Model for Expanding Audience Access}","{Hawkins}, I. and {Paglierani}, R."
93,2020,"1914 Data mining, INFORMATICS, 7833 Mathematical and numerical techniques, SPACE PLASMA PHYSICS, 7924 Forecasting, SPACE WEATHER, 7959 Models, SPACE WEATHER",{AIDA: a project for using machine learning to extract space science information from big data generated by observations and simulations.},"{Lapenta}, G."
94,2021,,{Using VR Technology to Teach Electricity and Magnetism},"{Ilie}, Raluca and {Chen}, Hsinju and {Kuo}, Joseph and {Cermak}, Daniel and {Shaffer}, Eric"
95,2006,"0805 Elementary and secondary education, 0810 Post-secondary education, 0815 Informal education, 0845 Instructional tools, 0850 Geoscience education research",{Building a Sense of Scale and Geographic Context: Virtual Field Trips Created With Google Earth and QuickTime Virtual Reality (QTVR)},"{Schott}, R.~C."
96,2018,"1920 Emerging informatics technologies, INFORMATICSDE: 1926 Geospatial, INFORMATICSDE: 1992 Virtual globes, INFORMATICSDE: 1994 Visualization and portrayal, INFORMATICS",{Science Data Visualization in AR/VR for Planetary and Earth Science},"{Grubb}, T. and {Garry}, W.~B. and {Brandt}, M.~A. and {Ames}, T. and {Morton}, D.~C. and {Lagomasino}, D. and {Schollaert Uz}, S. and {Memarsadeghi}, N."
97,2017,"0530 Data presentation and visualization, COMPUTATIONAL GEOPHYSICS, 4341 Early warning systems, NATURAL HAZARDS, 7230 Seismicity and tectonics, SEISMOLOGY, 8180 Tomography, TECTONOPHYSICS",{Immersive Visualization of the Solid Earth},"{Kreylos}, O. and {Kellogg}, L.~H."
98,2019,"0810 Post-secondary education, EDUCATION, 0820 Curriculum and laboratory design, EDUCATION, 7899 General or miscellaneous, SPACE PLASMA PHYSICS, 7999 General or miscellaneous, SPACE WEATHER",{Touching space: Space physics demonstrators at Aalto University},"{Kallio}, E.~J. and {Alho}, M. and {Jarvinen}, R. and {K{\""a}rkk{\""a}inen}, T. and {Simon Wedlund}, C. and {Harmainen}, V."
99,2016,"1630 Impacts of global change, GLOBAL CHANGEDE: 4327 Resilience, NATURAL HAZARDSDE: 4329 Sustainable development, NATURAL HAZARDSDE: 6334 Regional planning, POLICY SCIENCES",{Data for global solutions: How new technologies can help people to re-imagine the future of cities and more},"{Tewksbury}, J. and {Gaffney}, O. and {Young}, D."
100,2019,"0410 Biodiversity, BIOGEOSCIENCES, 0439 Ecosystems, structure and dynamics, BIOGEOSCIENCES, 0480 Remote sensing, BIOGEOSCIENCES, 1910 Data assimilation, integration and fusion, INFORMATICS","{Multi-Modal Sensing in Ranomafana National Park, Madagascar: Acoustic Soundscape and Lidar Structure}","{Vodacek}, A. and {Vandame}, P. and {Snyder}, T. and {Andrianarisoa}, M.~H. and {Andriatiavina}, A.~S. and {Stack Whitney}, K. and {Razafindraibe}, D."
101,2018,"0805 Elementary and secondary education, EDUCATIONDE: 0815 Informal education, EDUCATIONDE: 0845 Instructional tools, EDUCATIONDE: 0850 Geoscience education research, EDUCATION",{How Real is Virtual? Comparing a Real and Virtual Landscape Mapping Experience},"{Houghton}, J. and {Gordon}, C. and {Craven}, B. and {Morgan}, D.~J."
102,2011,"1910 INFORMATICS / Data assimilation, integration and fusion, 1920 INFORMATICS / Emerging informatics technologies, 1926 INFORMATICS / Geospatial, 1994 INFORMATICS / Visualization and portrayal","{Discovering new methods of data fusion, visualization, and analysis in 3D immersive environments for hyperspectral and laser altimetry data}","{Moore}, C.~A. and {Gertman}, V. and {Olsoy}, P. and {Mitchell}, J. and {Glenn}, N.~F. and {Joshi}, A. and {Norpchen}, D. and {Shrestha}, R. and {Pernice}, M. and {Spaete}, L. and {Grover}, S. and {Whiting}, E. and {Lee}, R."
103,2022,,"{Quantification of live root biomass and structure, necromass, and macro pores in Coastal Wetland Sediments using X-Ray Computed Tomography}","{Hassan}, Mohamed and {Jafari}, Navid and {Twilley}, Robert and {Butler}, Les and {Ham}, Kyungmin and {Rovai}, Andre"
104,2017,"1904 Community standards, INFORMATICS, 1908 Cyberinfrastructure, INFORMATICS, 1928 GIS science, INFORMATICS, 5499 General or miscellaneous, PLANETARY SCIENCES: SOLID SURFACE PLANETS",{The NASA Regional Planetary Image Facility (RPIF) Network: A Key Resource for Accessing and Using Planetary Spatial Data},"{Hagerty}, J.~J."
105,2014,"0805 Elementary and secondary education, EDUCATION, 0810 Post-secondary education, EDUCATION, 0820 Curriculum and laboratory design, EDUCATION, 0845 Instructional tools, EDUCATION",{Exploring the Universe with the Worldwide Telescope},"{Fay}, J.~E."
106,2022,,{Wildfire Prediction and VR Evacuation Routes Optimization using Computational Fluid Dynamics},"{Kim}, Jaekyoung and {Kang}, Junsuk"
107,2015,"1836 Hydrological cycles and budgets, HYDROLOGY, 1840 Hydrometeorology, HYDROLOGY, 1855 Remote sensing, HYDROLOGY, 1866 Soil moisture, HYDROLOGY",{SMAP/SMOS Soil moisture brightness temperature virtual observations to study data assimilation scheme},"{Saavedra}, P. and {Simmer}, C."
108,2022,,{WueDive - Complex systems ``Climate Change and the Effects on Health'' - an innovative teaching project to enhance digital culture in medical education.},"{Vova}, Dr, Oyudari Oyu and {K{\""o}nig}, Sarah and {Monty}, Samantha"
109,2019,"0815 Informal education, EDUCATION, 0855 Diversity, EDUCATION",{Engaging Many with Space Sciences through NASA's STEM Innovation Lab},"{Ng}, C. and {Cline}, T.~D. and {Young}, C.~A. and {Winter}, III, H.~D. and {Haas}, J.~P. and {Stephenson}, B.~E. and {Patel}, K.~A."
110,2015,"0810 Post-secondary education, EDUCATION, 0820 Curriculum and laboratory design, EDUCATION, 0825 Teaching methods, EDUCATION, 0845 Instructional tools, EDUCATION","{3D movies for teaching seafloor bathymetry, plate tectonics, and ocean circulation in large undergraduate classes}","{Peterson}, C.~D. and {Lisiecki}, L.~E. and {Gebbie}, G. and {Hamann}, B. and {Kellogg}, L.~H. and {Kreylos}, O. and {Kronenberger}, M. and {Spero}, H.~J. and {Streletz}, G.~J. and {Weber}, C."
111,2005,"0530 Data presentation and visualization, 0545 Modeling (4255), 0634 Measurement and standards, 0644 Numerical methods, 0910 Data processing","{Water Leak Detection by Using Ground Penetrating Radar, Synthetic Simulation and Four-Dimensional Visualization}","{Al-Shukri}, H. and {Eyuboglu}, S. and {Mahdi}, H."
112,2018,"0545 Modeling, COMPUTATIONAL GEOPHYSICSDE: 0560 Numerical solutions, COMPUTATIONAL GEOPHYSICSDE: 1932 High-performance computing, INFORMATICSDE: 3260 Inverse theory, MATHEMATICAL GEOPHYSICS",{Exploring Earth's interior in collaborative immersive VR environments},"{Duzgun}, S. and {Isleyen}, E. and {Orsvuran}, R. and {Bozdag}, E. and {Pugmire}, D. and {Lei}, W. and {Ruan}, Y. and {Tromp}, J."
113,2016,"0815 Informal education, EDUCATIONDE: 9810 New fields (not classifiable under other headings), GENERAL OR MISCELLANEOUSDE: 1994 Visualization and portrayal, INFORMATICSDE: 6699 General or miscellaneous, PUBLIC ISSUES",{Altered Perspectives: Immersive Environments},"{Shipman}, J.~S. and {Webley}, P.~W."
114,2008,"0530 Data presentation and visualization, 0594 Instruments and techniques, 0845 Instructional tools, 9820 Techniques applicable in three or more fields",{Authoring Tours of Geospatial Data With KML and Google Earth},"{Barcay}, D.~P. and {Weiss-Malik}, M."
115,2024,,{Earth Mission Control: Local Climate Change Intelligence through Advanced Data Visualizations},"{Palmer}, Jaden and {Cherner}, Phillip and {Connolly}, Rachel and {Rathnasabapathy}, Minoo and {Newman}, Dava"
116,2024,,{Enhancing Cross-Virtuality Collaboration for Geospatial Data Visualization},"{Gold}, Lauren and {LiKamWa}, Robert"
117,2017,"0845 Instructional tools, EDUCATION, 0850 Geoscience education research, EDUCATION, 1916 Data and information discovery, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS",{Developing an Augmented Reality Environment for Earth Science Education},"{Pratt}, M.~J. and {Skemer}, P.~A. and {Arvidson}, R.~E."
118,2019,"0805 Elementary and secondary education, EDUCATION, 0810 Post-secondary education, EDUCATION, 0815 Informal education, EDUCATION, 0850 Geoscience education research, EDUCATION","{NASA's STEM Innovation Lab: A Hybrid Makerspace. Our goal is to bring NASA's universe of knowledge into educational spaces around the country and to increase scientific literacy and interest. We're a hybrid think-tank and makerspace where we invite NASA scientists, engineers, and educators to explore and share ideas using educational technology.}","{Cline}, T.~D. and {Young}, C.~A. and {Sasser}, L."
119,2006,"0530 Data presentation and visualization, 9810 New fields (not classifiable under other headings), 9820 Techniques applicable in three or more fields","{NASA World Wind, Open Source 4D Geospatial Visualization Platform: *.NET \& Java*}","{Hogan}, P. and {Coughlan}, J."
120,2024,,{The Development and Impact of VR Fieldtrips on Geoscience Curricula},"{Loriga}, Irene and {Macedo de Oliveira}, Larissa and {Kenna}, Therese and {Tunwal}, Mohit and {Lim}, Aaron and {Jarvis}, Ed"
121,2023,,{Comprehensive and Scalable Flow and Transport Modeling in Karstic Systems with Python-based Workflows},"{Reimann}, Thomas and {Rudolph}, Max Gustav and {Grabow}, Leonard and {Genzel}, Marcus and {Noffz}, Torsten and {Renard}, Philippe and {Mohammadi}, Zargham and {Liedl}, Rudolf"
122,2018,"0820 Curriculum and laboratory design, EDUCATIONDE: 0825 Teaching methods, EDUCATIONDE: 0850 Geoscience education research, EDUCATIONDE: 0855 Diversity, EDUCATION",{Putting the Stars Within Reach: Improving NASA 3D Printed Data Sets by Working with Blind and Visually Impaired Audiences},"{Wolk}, N. and {Arcand}, K. and {Price}, S. and {Jubett}, A."
123,2020,"1908 Cyberinfrastructure, INFORMATICS, 1910 Data assimilation, integration and fusion, INFORMATICS, 1926 Geospatial, INFORMATICS, 1932 High-performance computing, INFORMATICS",{Evaluating New Visualization Services for Browsing Spatiotemporal Earth Observation Satellite Data},"{Roberts}, J.~T. and {Chou}, D. and {Briden}, R.~C. and {Graber}, M.~W. and {Lim}, B. and {Cechini}, M.~F. and {Boller}, R.~A. and {Baynes}, K."
124,2020,"0805 Elementary and secondary education, EDUCATION, 0810 Post-secondary education, EDUCATION, 0815 Informal education, EDUCATION, 0845 Instructional tools, EDUCATION",{Investigating 3D visualization tools in glaciology: from storytelling to discovery},"{Cordero}, S.~I. and {Boghosian}, A. and {Locke}, C.~D. and {Kingslake}, J. and {Bell}, R.~E."
125,2018,"1920 Emerging informatics technologies, INFORMATICSDE: 1926 Geospatial, INFORMATICSDE: 1992 Virtual globes, INFORMATICSDE: 1994 Visualization and portrayal, INFORMATICS",{VR in the Geophysical Sciences: How Data Can Become ``Alive''},"{Raja}, U."
126,2024,,"{Improving Planetary Field Geology Research and Training Using High-Spatial-Resolution, Immersive Virtual Environments}","{Hodges}, Kip V. and {Bardoliya}, Fenil and {Das}, Jnaneshwar and {Gold}, Lauren and {Hael}, Jack and {Kohl}, Evan and {LiKamWa}, Robert and {Lott}, Tracey and {Schmitt}, Harrison H."
127,2018,"1916 Data and information discovery, INFORMATICSDE: 1930 Data and information governance, INFORMATICSDE: 1946 Metadata, INFORMATICSDE: 1976 Software tools and services, INFORMATICS",{Building 3D Model COLLADA in the UNIDATA's IDV},"{Ho}, Y. and {Weber}, J. and {Wu}, H."
128,2023,,{Polar Explorer: A place-based virtual learning environment for STEM undergraduate education},"{Huntzinger}, Deborah N. and {Mead}, Chris and {Bruce}, Geoffrey and {Schaefer}, Kevin M. and {Mack}, Michelle C. and {Taylor}, Wendy and {Thompson}, Lisa and {Leshyk}, Victor O. and {Anbar}, Ariel D."
129,2018,"0902 Computational methods: seismic, EXPLORATION GEOPHYSICSDE: 0925 Magnetic and electrical methods, EXPLORATION GEOPHYSICSDE: 7255 Surface waves and free oscillations, SEISMOLOGYDE: 7290 Computational seismology, SEISMOLOGY",{Virtual seismology: from hydrocarbon reservoir imaging to induced earthquake monitoring},"{Wapenaar}, C.~P.~A. and {Brackenhoff}, J. and {Staring}, M. and {Thorbecke}, J. and {Slob}, E.~C."
130,2023,,{Investigating the immersive visualization tools with complex data from global seismic tomographic mantle models},"{Demirkan}, Doga Cagdas and {Bozdag}, Ebru and {Ghosh}, Ayon and {Gunal}, Devrim and {Vite Sanchez}, Reynaldo and {Orsvuran}, Ridvan and {Peter}, Daniel B. and {Duzgun}, Sebnem and {Yu}, KaChun and {Thiry}, Christopher J.~J."
131,2017,"1829 Groundwater hydrology, HYDROLOGY, 1831 Groundwater quality, HYDROLOGY, 1869 Stochastic hydrology, HYDROLOGY","{An open, object-based modeling approach for simulating subsurface heterogeneity}","{Bennett}, J. and {Ross}, M. and {Haslauer}, C.~P. and {Cirpka}, O.~A."
132,2019,"0810 Post-secondary education, EDUCATION, 0825 Teaching methods, EDUCATION, 0994 Instruments and techniques, EXPLORATION GEOPHYSICS, 8486 Field relationships, VOLCANOLOGY",{Bringing the Field to the Classroom: Immersive Virtual Fieldtrips in Undergraduate Geoscience Courses},"{La Femina}, P.~C. and {Klippel}, A. and {Carr}, J.~C. and {Zhao}, J. and {Wallgr{\""u}n}, J.~O. and {Oprean}, D. and {Chang}, S.~K. and {Jackson}, K.~L."
133,2017,"0720 Glaciers, CRYOSPHERE, 0726 Ice sheets, CRYOSPHERE, 0762 Mass balance 0764 Energy balance, CRYOSPHERE, 1621 Cryospheric change, GLOBAL CHANGE","{3D Modeling of Glacial Erratic Boulders in the Haizi Shan Region, Eastern Tibetan Plateau}","{Sheriff}, M. and {Stevens}, J. and {Radue}, M.~J. and {Strand}, P. and {Zhou}, W. and {Putnam}, A.~E."
134,2024,,"{Testing 3D mapping techniques for Lunar lava tube reconstruction in Lanzarote, Spain}","{Paige}, Cody and {Olivier}, Gerrit and {Cherner}, Phillip and {Alexopoulos}, Imelda and {Coblentz}, Maggie and {Clay}, Robyn and {Aubert}, Jeremy"
135,2017,"0815 Informal education, EDUCATION, 0820 Curriculum and laboratory design, EDUCATION, 0840 Evaluation and assessment, EDUCATION, 0845 Instructional tools, EDUCATION",{Learning outcomes of in-person and virtual field-based geoscience instruction at Grand Canyon National Park: complementary mixed-methods analyses},"{Semken}, S.~C. and {Ruberto}, T. and {Mead}, C. and {Bruce}, G. and {Buxner}, S. and {Anbar}, A.~D."
136,2014,"0820 Curriculum and laboratory design, EDUCATION, 0840 Evaluation and assessment, EDUCATION, 0850 Geoscience education research, EDUCATION, 1833 Hydroclimatology, HYDROLOGY",{Interactive Learning Environment: Web-based Virtual Hydrological Simulation System using Augmented and Immersive Reality},"{Demir}, I."
137,2024,,{Bridging Gaps in Space Weather with Open Science for a Resilient Future: A Global Perspective},"{Sardana}, Disha and {Ledvina}, Vincent and {Roy}, Souvik and {Idolor}, Omena and {Taiwo}, Osanyin Olusayo and {Ringuette}, Rebecca"
138,2018,"4217 Coastal processes, OCEANOGRAPHY: GENERAL",{Immersive Coastal Hydrodynamic Simulation},"{Lynett}, P.~J. and {Tavakkol}, S."
139,2023,,{Strategies for Scientists to Communicate Volcanic Hazard to the Public when Threat of Eruption is Low},"{Hufstetler}, Rebeckah S. and {Smith}, Hollie M. and {Hooft}, Emilie E.~E. and {Walton}, Dean"
140,2016,"0820 Curriculum and laboratory design, EDUCATIONDE: 0825 Teaching methods, EDUCATIONDE: 0850 Geoscience education research, EDUCATIONDE: 1824 Geomorphology: general, HYDROLOGY",{How to Make a Virtual Landscape with Outcrops for Use in Geoscience Teaching},"{Houghton}, J. and {Gordon}, C. and {Craven}, B. and {Robinson}, A. and {Lloyd}, G.~E.~E. and {Morgan}, D.~J."
141,2015,"0815 Informal education, EDUCATION, 0825 Teaching methods, EDUCATION, 0845 Instructional tools, EDUCATION, 1952 Modeling, INFORMATICS",{Humber-in-a-Box : Gamification to Communicate Coastal Flood Risk in the Face of Rising Seas},"{Skinner}, C.~J. and {van Rij}, J.~D."
142,2019,"1829 Groundwater hydrology, HYDROLOGY, 5215 Origin of life, PLANETARY SCIENCES: ASTROBIOLOGY, 6225 Mars, PLANETARY SCIENCES: SOLAR SYSTEM OBJECTS, 6297 Instruments and techniques, PLANETARY SCIENCES: SOLAR SYSTEM OBJECTS",{Investigation on Photogrammetry and LiDAR Models for Caves/Mines 3D Reconstruction},"{de Resende Filho}, L.~W. and {Domingues}, J.~D. and {Azpurua}, H. and {Correa Pab{\'o}n}, R.~E. and {Pessin}, G. and {Przewodowski}, A. and {Os{\'o}rio}, F.~S."
143,2016,"0805 Elementary and secondary education, EDUCATIONDE: 0815 Informal education, EDUCATIONDE: 0820 Curriculum and laboratory design, EDUCATIONDE: 0850 Geoscience education research, EDUCATION","{Exploring the dark energy biosphere, 15 seconds at a time}","{Petrone}, C. and {Tossey}, L. and {Biddle}, J."
144,2012,"1620 GLOBAL CHANGE / Climate dynamics, 1626 GLOBAL CHANGE / Global climate models, 3354 ATMOSPHERIC PROCESSES / Precipitation, 3355 ATMOSPHERIC PROCESSES / Regional modeling",{Comparison of Two Grid Refinement Approaches for High Resolution Regional Climate Modeling: MPAS vs WRF},"{Leung}, L. and {Hagos}, S.~M. and {Rauscher}, S. and {Ringler}, T."
145,2017,"1916 Data and information discovery, INFORMATICS, 1920 Emerging informatics technologies, INFORMATICS, 1992 Virtual globes, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS",{Transduction between worlds: using virtual and mixed reality for earth and planetary science},"{Hedley}, N. and {Lochhead}, I. and {Aagesen}, S. and {Lonergan}, C.~D. and {Benoy}, N."
146,2018,"0815 Informal education, EDUCATIONDE: 1630 Impacts of global change, GLOBAL CHANGEDE: 4815 Ecosystems, structure, dynamics, and modeling, OCEANOGRAPHY: BIOLOGICAL AND CHEMICALDE: 4220 Coral reef systems, OCEANOGRAPHY: GENERAL","{Underwater Imaging as a Tool for Science, Art, and (at Times Unexpected) Engagement}","{Sandin}, S.~A."
147,2018,"0805 Elementary and secondary education, EDUCATIONDE: 0815 Informal education, EDUCATIONDE: 0845 Instructional tools, EDUCATIONDE: 0850 Geoscience education research, EDUCATION",{NASA's Solar System Treks - New Capabilities and New Worlds},"{Day}, B.~H. and {Law}, E."
148,2017,"1805 Computational hydrology, HYDROLOGY, 1847 Modeling, HYDROLOGY, 1855 Remote sensing, HYDROLOGY, 1910 Data assimilation, integration and fusion, INFORMATICS",{Exploring 4D Flow Data in an Immersive Virtual Environment},"{Stevens}, A.~H. and {Butkiewicz}, T."
149,2017,"1916 Data and information discovery, INFORMATICS, 1920 Emerging informatics technologies, INFORMATICS, 1992 Virtual globes, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS",{Along the Virtuality Continuum - Two Showcases on how xR Technologies Transform Geoscience Research and Education},"{Klippel}, A. and {Zhao}, J. and {Masrur}, A. and {Wallgruen}, J.~O. and {La Femina}, P.~C."
150,2023,,{Experience in Visualizing Satellite Data with Ar/vr Technologies at Nasa's Ges-Disc},"{Khayat}, Mohammad G. and {Abueg}, Zachariah and {Alcott}, Allison and {Mehrabian}, Armin"
151,2016,"3354 Precipitation, ATMOSPHERIC PROCESSESDE: 1854 Precipitation, HYDROLOGYDE: 1855 Remote sensing, HYDROLOGYDE: 4303 Hydrological, NATURAL HAZARDS",{Interactive Visualization of Near Real-Time and Production Global Precipitation Mission Data Online Using CesiumJS},"{Lammers}, M."
152,2019,"0810 Post-secondary education, EDUCATION, 0825 Teaching methods, EDUCATION, 0845 Instructional tools, EDUCATION, 0850 Geoscience education research, EDUCATION",{Place-based education - an immersive technologies perspective},"{Klippel}, A. and {Wallgruen}, J.~O. and {Zhao}, J. and {Oprean}, D. and {Chang}, S.~K. and {La Femina}, P.~C. and {Sajjadi}, P. and {Bagher}, M.~M."
153,2018,"0805 Elementary and secondary education, EDUCATIONDE: 0815 Informal education, EDUCATIONDE: 0845 Instructional tools, EDUCATIONDE: 0850 Geoscience education research, EDUCATION",{NASA GIBS and Worldview: Visualizing NASA's Earth Science Data for All to Explore},"{Cechini}, M.~F. and {Boller}, R.~A. and {Baynes}, K. and {Roberts}, J.~T. and {Rodriguez}, J. and {Thompson}, C.~K. and {Schmaltz}, J.~E. and {Wong}, M.~M. and {King}, B.~A. and {Rice}, Z. and {McGann}, M. and {Plato}, E. and {De Luca}, A.~P. and {King}, J. and {Pressley}, N.~N."
154,2017,"1916 Data and information discovery, INFORMATICS, 1920 Emerging informatics technologies, INFORMATICS, 1992 Virtual globes, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS",{Immersive Visual Data Analysis For Geoscience Using Commodity VR Hardware},"{Kreylos}, O. and {Kellogg}, L.~H."
155,2023,,{Enhancing Flood Risk Management for Urban Coastal Communities Using Low-Cost LiDAR Applications},"{Ofterdinger}, Ulrich and {Miller}, Aaron and {Peng}, Yong and {Meneely}, John and {McKinley}, Jennifer and {Bertolotto}, Michela and {Vo}, An Vu and {Laefer}, Debra"
156,2023,,"{Culturally Relevant Experiential Curriculum via Empirical Labs \& Emerging Networked Telescopes,(CR-EXCELENT)}","{M Haghanikar}, Mojgan"
157,2017,"1916 Data and information discovery, INFORMATICS, 1920 Emerging informatics technologies, INFORMATICS, 1992 Virtual globes, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS","{Immersive Interaction, Manipulation and Analysis of Large 3D Datasets for Planetary and Earth Sciences}","{Pariser}, O. and {Calef}, F. and {Manning}, E.~M. and {Ardulov}, V."
158,2014,"0750 Sea ice, 0758 Remote sensing, 0776 Glaciology, 0794 Instruments and techniques",{Photogrammetric Processing of IceBridge DMS Imagery into High-Resolution Digital Surface Models (DEM and Visible Overlay)},"{Arvesen}, J.~C. and {Dotson}, R.~C."
159,2023,,{Creating Data-Driven Interactive Virtual Environments for Communicating Forest Change},"{Mahoney}, Mike and {Beier}, Colin M. and {Ackerman}, Aidan C."
160,2018,"0805 Elementary and secondary education, EDUCATIONDE: 0815 Informal education, EDUCATIONDE: 0825 Teaching methods, EDUCATIONDE: 0840 Evaluation and assessment, EDUCATION",{Designing Fossil-based Collaborative Learning Activities about Evolution and the History of Life on Earth},"{Robertson}, G.~F. and {Popson}, C.~P. and {Bolton}, A."
161,2021,,{From Risk to Resilience: Connecting Communities to Coastal Hazards Through Interactive \& Immersive Design},"{Roop}, Heidi and {Neff}, Peter and {Grodnik-Nagle}, Ann and {Purnell}, Danielle"
162,2018,"1920 Emerging informatics technologies, INFORMATICSDE: 1926 Geospatial, INFORMATICSDE: 1992 Virtual globes, INFORMATICSDE: 1994 Visualization and portrayal, INFORMATICS",{Worldview AR: An Interactive Augmented Reality Prototype for NASA Earth Observing Satellite Imagery},"{Miller}, J. and {Boller}, R.~A. and {Roberts}, J.~T. and {Luo}, V. and {Wong}, M.~M. and {Rice}, Z. and {McGann}, M. and {Plato}, E. and {Baynes}, K."
163,2016,"0815 Informal education, EDUCATIONDE: 0820 Curriculum and laboratory design, EDUCATIONDE: 0840 Evaluation and assessment, EDUCATIONDE: 0845 Instructional tools, EDUCATION","{The power of videogame-like experiences for explanatory storytelling in science, education, and healthcare.}","{Sarno}, D.~A. and {Hayes}, J."
164,2006,"0530 Data presentation and visualization, 9810 New fields (not classifiable under other headings), 9820 Techniques applicable in three or more fields","{NASA World Wind, Open Source 4D Geospatial Visualization Platform: *.NET \& Java* for EDUCATION}","{Hogan}, P. and {Kuehnel}, F."
165,2014,7299 General or miscellaneous,{The VERCE Science Gateway: Enabling User Friendly HPC Seismic Wave Simulations.},"{Casarotti}, E. and {Spinuso}, A. and {Matser}, J. and {Leong}, S.~H. and {Magnoni}, F. and {Krause}, A. and {Garcia}, C.~R. and {Muraleedharan}, V. and {Krischer}, L. and {Anthes}, C."
166,2022,,{Polar Explorer: An Interactive Virtual Field Trip-Based Exploration of Alaska and the Changing Arctic},"{Huntzinger}, Deborah N. and {Mead}, Chris and {Thompson}, Lisa and {Bruce}, Geoffrey and {Anbar}, Ariel D. and {Mack}, Michelle C. and {Schaefer}, Kevin M. and {Leshyk}, Victor O. and {Taylor}, Wendy"
167,2007,"0820 Curriculum and laboratory design, 0825 Teaching methods, 0840 Evaluation and assessment, 0845 Instructional tools, 0850 Geoscience education research",{Studying Geology of Central Texas through Web-Based Virtual Field Trips},"{Chan}, C. and {Khan}, S.~D. and {Wellner}, J.~S."
168,2011,"0820 EDUCATION / Curriculum and laboratory design, 0850 EDUCATION / Geoscience education research, 8488 VOLCANOLOGY / Volcanic hazards and risks, 4302 NATURAL HAZARDS / Geological",{Volcanic Hazard Education through Virtual Field studies of Vesuvius and Laki Volcanoes},"{Carey}, S. and {Sigurdsson}, H."
169,2017,"0805 Elementary and secondary education, EDUCATION, 0815 Informal education, EDUCATION, 0825 Teaching methods, EDUCATION, 0845 Instructional tools, EDUCATION",{``Handling'' seismic hazard: 3D printing of California Faults},"{Kyriakopoulos}, C. and {Potter}, M. and {Richards-Dinger}, K.~B."
